timestamp,Open,High,Low,Close,Volume
2021-06-29,300.25,315.5,294.2,300.95,45539.46
2021-06-30,300.95,304.7,281.45,302.8,65676.47
2021-07-01,302.8,302.95,280.1,287.65,58628.1
2021-07-02,287.65,290.65,275.95,287.15,59337.54
2021-07-03,287.15,303.5,282.85,298.2,59050.84
2021-07-04,298.2,315.2,291.9,307.8,54759.21
2021-07-05,307.8,307.8,292.4,301.85,46926.46
2021-07-06,301.85,321.9,301.85,319.75,60246.94
2021-07-07,319.75,339.35,318.25,327.75,65554.37
2021-07-08,327.75,327.8,304.25,309.7,60940.33
2021-07-09,309.7,319.35,301.55,316.8,49154.09
2021-07-10,316.8,320.95,310.4,316.1,48666.11
2021-07-11,316.1,326.45,312.2,321.75,54240.6
2021-07-12,321.75,335.45,308.45,315.7,52162.64
2021-07-13,315.7,317.9,305.4,308.75,34823.09
2021-07-14,308.75,312.95,289.4,309.2,46808.14
2021-07-15,309.2,323.9,301.3,315.3,71184.04
2021-07-16,315.3,323.0,301.8,302.95,73803.98
2021-07-17,302.95,306.25,294.15,300.15,53886.99
2021-07-18,300.15,309.0,299.1,302.1,52532.76
2021-07-19,302.1,303.2,278.25,280.0,54368.16
2021-07-20,280.0,283.25,254.05,264.45,79054.75
2021-07-21,264.45,298.75,259.5,292.85,84124.09
2021-07-22,292.85,298.0,287.35,293.15,50882.25
2021-07-23,293.15,301.25,281.35,299.15,49317.66
2021-07-24,299.15,307.65,295.25,301.65,39464.32
2021-07-25,301.65,303.7,292.25,301.95,30278.13
2021-07-26,301.95,328.75,300.8,303.9,72891.99
2021-07-27,303.9,317.9,296.65,313.55,38787.36
2021-07-28,313.55,319.9,307.8,313.55,36909.49
2021-07-29,313.55,320.3,308.3,316.8,29745.87
2021-07-30,316.8,325.6,306.25,322.45,33884.92
2021-07-31,322.45,338.65,317.45,332.4,40170.49
2021-08-01,332.4,347.85,329.15,332.8,47102.83
2021-08-02,332.8,337.75,326.45,330.9,36771.75
2021-08-03,330.9,334.7,317.15,323.2,34666.09
2021-08-04,323.2,337.05,320.0,335.05,28624.56
2021-08-05,335.05,339.8,323.5,338.15,35357.0
2021-08-06,338.15,347.1,331.05,342.0,39500.3
2021-08-07,342.0,359.8,340.5,356.3,45722.02
2021-08-08,356.3,359.7,337.2,342.25,35837.57
2021-08-09,342.25,357.5,333.6,354.75,45354.08
2021-08-10,354.75,377.0,348.9,372.0,72508.17
2021-08-11,372.0,409.3,371.8,391.45,78828.66
2021-08-12,391.45,406.85,372.1,385.65,65729.52
2021-08-13,385.65,411.7,383.1,411.4,50543.56
2021-08-14,411.4,419.35,400.0,408.95,59437.19
2021-08-15,408.95,414.85,396.5,414.4,40096.8
2021-08-16,414.4,437.6,411.4,416.3,64987.83
2021-08-17,416.3,435.95,399.1,402.0,59789.44
2021-08-18,402.0,412.35,385.1,396.1,47529.63
2021-08-19,396.1,432.1,391.25,431.35,54871.17
2021-08-20,431.35,458.5,422.2,454.9,64572.6
2021-08-21,454.9,461.35,445.4,449.3,60102.82
2021-08-22,449.3,458.7,438.3,449.15,40691.42
2021-08-23,449.15,510.6,447.4,499.85,138848.41
2021-08-24,499.85,504.7,461.7,472.3,96315.41
2021-08-25,472.3,507.8,470.35,503.7,105646.91
2021-08-26,503.7,519.55,470.65,477.95,135090.48
2021-08-27,477.95,495.35,467.45,494.8,74792.52
2021-08-28,494.8,497.5,482.1,486.2,44703.12
2021-08-29,486.2,496.1,476.55,479.9,44365.86
2021-08-30,479.9,481.45,456.9,460.15,59457.94
2021-08-31,460.15,477.7,452.3,464.95,67013.18
2021-09-01,464.95,490.2,455.9,489.3,70164.74
2021-09-02,489.3,504.65,478.0,484.0,81561.1
2021-09-03,484.0,494.5,472.7,488.6,54577.66
2021-09-04,488.6,510.65,486.0,498.4,63842.82
2021-09-05,498.4,506.0,488.9,504.9,48947.75
2021-09-06,504.9,510.15,487.25,496.1,56799.34
2021-09-07,496.1,505.55,355.0,417.0,162947.89
2021-09-08,417.0,425.0,382.3,414.5,61173.26
2021-09-09,414.5,436.5,403.85,421.05,58620.02
2021-09-10,421.05,439.6,393.35,401.0,53919.11
2021-09-11,401.0,414.95,400.0,404.85,33212.9
2021-09-12,404.85,421.35,397.55,416.6,34300.26
2021-09-13,416.6,419.4,381.8,398.85,59852.13
2021-09-14,398.85,414.15,395.85,414.15,38008.34
2021-09-15,414.15,436.25,410.15,430.8,40261.39
2021-09-16,430.8,433.05,416.05,424.6,42095.23
2021-09-17,424.6,425.85,400.35,406.8,35911.34
2021-09-18,406.8,419.65,401.8,410.65,24676.7
2021-09-19,410.65,419.1,403.5,408.8,34200.89
2021-09-20,408.8,409.95,353.75,363.95,67071.83
2021-09-21,363.95,375.4,336.35,344.0,55358.03
2021-09-22,344.0,379.45,342.25,379.05,38928.66
2021-09-23,379.05,384.4,369.15,383.4,29379.27
2021-09-24,383.4,384.7,333.55,355.1,53854.4
2021-09-25,355.1,360.55,343.65,349.4,34667.65
2021-09-26,349.4,352.3,319.35,344.25,55316.96
2021-09-27,344.25,357.45,335.1,335.35,45359.61
2021-09-28,335.35,344.5,329.0,332.9,55915.28
2021-09-29,332.9,374.9,331.5,366.8,102037.23
2021-09-30,366.8,388.65,365.15,387.1,81615.65
2021-10-01,387.1,423.0,380.9,421.45,88651.42
2021-10-02,421.45,437.85,411.0,426.9,55221.56
2021-10-03,426.9,437.05,421.65,430.15,48016.44
2021-10-04,430.15,430.5,410.65,426.25,50047.64
2021-10-05,426.25,443.95,424.05,441.8,49903.76
2021-10-06,441.8,442.25,414.65,434.55,61859.04
2021-10-07,434.55,450.55,422.9,438.4,58726.06
2021-10-08,438.4,441.4,416.1,419.2,58224.39
2021-10-09,419.2,426.0,416.25,422.2,29143.33
2021-10-10,422.2,422.45,401.95,404.5,44970.78
2021-10-11,404.5,424.0,398.95,413.45,37265.52
2021-10-12,413.45,444.95,392.4,444.75,127874.61
2021-10-13,444.75,471.55,433.3,469.75,288024.81
2021-10-14,469.75,482.8,458.8,471.9,105760.21
2021-10-15,471.9,477.3,452.05,474.25,88489.65
2021-10-16,474.25,485.4,456.25,464.85,70779.61
2021-10-17,464.85,471.0,452.65,470.65,55953.56
2021-10-18,470.65,487.5,466.3,484.75,70214.98
2021-10-19,484.75,497.35,477.5,487.3,73732.42
2021-10-20,487.3,506.45,480.1,501.0,64186.49
2021-10-21,501.0,504.95,465.55,471.95,104175.2
2021-10-22,471.95,498.6,471.75,478.75,89821.35
2021-10-23,478.75,485.85,472.2,485.85,49601.53
2021-10-24,485.85,486.8,468.2,476.2,40334.46
2021-10-25,476.2,488.65,475.4,485.35,33421.71
2021-10-26,485.35,490.5,473.7,478.4,27180.42
2021-10-27,478.4,486.4,431.8,448.5,53561.22
2021-10-28,448.5,494.8,446.95,491.9,55131.84
2021-10-29,491.9,534.7,488.05,530.2,65145.84
2021-10-30,530.2,541.2,510.45,528.65,52621.0
2021-10-31,528.65,534.8,508.55,523.95,48358.36
2021-11-01,523.95,552.05,511.05,551.2,72816.39
2021-11-02,551.2,565.65,537.8,554.65,53241.31
2021-11-03,554.65,570.05,537.1,568.7,63832.06
2021-11-04,568.7,569.05,544.2,559.25,52108.25
2021-11-05,559.25,619.15,555.0,606.45,116900.59
2021-11-06,606.45,637.3,595.3,637.2,92271.5
2021-11-07,637.2,669.5,630.1,649.55,120129.06
2021-11-08,649.55,656.15,632.65,654.2,83692.37
2021-11-09,654.2,657.0,633.45,635.55,52625.97
2021-11-10,635.55,662.95,567.65,614.35,126631.54
2021-11-11,614.35,635.0,605.5,628.3,58291.81
2021-11-12,628.3,634.15,602.7,626.75,60994.82
2021-11-13,626.75,654.4,619.35,648.75,49272.38
2021-11-14,648.75,659.5,634.55,650.3,61838.38
2021-11-15,650.3,658.9,630.5,633.15,48943.6
2021-11-16,633.15,634.1,570.5,588.85,110148.95
2021-11-17,588.85,592.5,554.4,578.75,68909.49
2021-11-18,578.75,588.3,516.45,531.85,78677.22
2021-11-19,531.85,585.6,524.2,580.8,63224.44
